timestamp,hand_detected,hand_x,hand_y,screen_x,screen_y,event
2026-05-09 17:44:35,False,,,800,878,
2026-05-09 17:44:35,False,,,800,878,
2026-05-09 17:44:35,False,,,800,878,
2026-05-09 17:44:35,False,,,800,878,
2026-05-09 17:44:35,False,,,800,878,
2026-05-09 17:44:35,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:36,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:37,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:38,False,,,800,878,
2026-05-09 17:44:39,False,,,800,878,
2026-05-09 17:44:39,False,,,800,878,
2026-05-09 17:44:39,False,,,800,878,
2026-05-09 17:44:39,False,,,800,878,
2026-05-09 17:44:39,False,,,800,878,
2026-05-09 17:44:39,False,,,800,878,
2026-05-09 17:44:39,False,,,800,878,
2026-05-09 17:44:39,False,,,800,878,
2026-05-09 17:44:39,False,,,800,878,
2026-05-09 17:44:39,False,,,800,878,
2026-05-09 17:44:39,False,,,800,878,
